%** ============================================================================= **
%**                     BERING STRAIT MONTHLY MEANS                               **
%** ============================================================================= **
%** Processed Jun2017 from transalla3 and v4 etc **
%**   Contact: Rebecca Woodgate (woodgate@apl.washington.edu) (206)-221-3268
%**   Background: http://psc.apl.washington.edu/BeringStrait.html
%**                                                            
%** If you use these data, especially for publications, please:
%**    a) Email me with the publication reference
%**    b) Cite the data, viz:
%**                                                            
%** CITATIONS:  
%** 1) Woodgate R.A., K.Stafford, F.Prahl, 2015, 
%** A Synthesis of Year-round Interdisciplinary Mooring Measurements  
%** in the Bering Strait (1990-2014) and the RUSALCA years (2004-2011), 
%** Oceanography 28(3):46-67, doi:10.5670/oceanog.2015.57 
%** 2) Woodgate, R.A., submitted 2017                                 
%** Increases in the Pacific inflow to the Arctic from 1990 to 2015, and 
%** insights into seasonal trends and driving mechanisms from year-round 
%** Bering Strait mooring data
%** Submitted to Progress in Oceanography
%**                                                            
%** See those references for methods and data isses                      
%**                                                            
%** ============================================================================= **
%** Mooring = number signifies A1, A2, A3, A4                            
%** Mean = monthly mean for given year and month (uncorrected data)      
%** Error = error in that mean      
%** MeanCorr = if present, monthly mean using corrected data 
%**   (vel/trans corrected for instrument depths and dropouts;
%**   salinity corrected for biofouling - see Woodgate 2017
%** CorrErr = error in that mean    
%** NaN = insufficient data to compute annual mean                       
%** ============================================================================= **
%** ============================================================================= **
%** =========== Freshwater Flux estimate (Sv) from A3 =========================== ** 
%** =========== relative to S=34.8psu  ========================================== ** 
%** ============(does not include corrections for ACC or stratification) ======== ** 
%** ============================================================================= ** 
%
% Mooring  Year    Month   Mean  Error        Mean  Error
     3     1990      1     NaN     NaN        NaN     NaN
     3     1990      2     NaN     NaN        NaN     NaN
     3     1990      3     NaN     NaN        NaN     NaN
     3     1990      4     NaN     NaN        NaN     NaN
     3     1990      5     NaN     NaN        NaN     NaN
     3     1990      6     NaN     NaN        NaN     NaN
     3     1990      7     NaN     NaN        NaN     NaN
     3     1990      8     NaN     NaN        NaN     NaN
     3     1990      9   0.033   0.012      0.036   0.013
     3     1990     10   0.038   0.018      0.041   0.020
     3     1990     11   0.072   0.035      0.078   0.038
     3     1990     12   0.055   0.019      0.059   0.021
     3     1991      1   0.025   0.022      0.027   0.024
     3     1991      2   0.003   0.016      0.003   0.017
     3     1991      3   0.016   0.007      0.018   0.007
     3     1991      4   0.026   0.005      0.028   0.005
     3     1991      5   0.049   0.015      0.053   0.016
     3     1991      6   0.092   0.008      0.100   0.009
     3     1991      7   0.084   0.008      0.091   0.009
     3     1991      8   0.090   0.018      0.098   0.019
     3     1991      9   0.086   0.012      0.093   0.013
     3     1991     10   0.061   0.012      0.066   0.013
     3     1991     11   0.074   0.015      0.080   0.016
     3     1991     12  -0.000   0.033      0.000   0.035
     3     1992      1   0.059   0.011      0.064   0.011
     3     1992      2   0.058   0.022      0.062   0.023
     3     1992      3   0.038   0.008      0.041   0.008
     3     1992      4   0.054   0.011      0.058   0.011
     3     1992      5   0.066   0.010      0.071   0.010
     3     1992      6   0.068   0.007      0.073   0.008
     3     1992      7   0.067   0.012      0.072   0.013
     3     1992      8   0.043   0.013      0.046   0.014
     3     1992      9  -0.000   0.008     -0.000   0.009
     3     1992     10     NaN     NaN        NaN     NaN
     3     1992     11     NaN     NaN        NaN     NaN
     3     1992     12     NaN     NaN        NaN     NaN
     3     1993      1     NaN     NaN        NaN     NaN
     3     1993      2     NaN     NaN        NaN     NaN
     3     1993      3     NaN     NaN        NaN     NaN
     3     1993      4     NaN     NaN        NaN     NaN
     3     1993      5     NaN     NaN        NaN     NaN
     3     1993      6     NaN     NaN        NaN     NaN
     3     1993      7     NaN     NaN        NaN     NaN
     3     1993      8     NaN     NaN        NaN     NaN
     3     1993      9     NaN     NaN        NaN     NaN
     3     1993     10     NaN     NaN        NaN     NaN
     3     1993     11     NaN     NaN        NaN     NaN
     3     1993     12     NaN     NaN        NaN     NaN
     3     1994      1     NaN     NaN        NaN     NaN
     3     1994      2     NaN     NaN        NaN     NaN
     3     1994      3     NaN     NaN        NaN     NaN
     3     1994      4     NaN     NaN        NaN     NaN
     3     1994      5     NaN     NaN        NaN     NaN
     3     1994      6     NaN     NaN        NaN     NaN
     3     1994      7     NaN     NaN        NaN     NaN
