%** ============================================================================= **
%**                     BERING STRAIT MONTHLY MEANS                               **
%** ============================================================================= **
%** Processed Jun2017 from transalla3 and v4 etc **
%**   Contact: Rebecca Woodgate (woodgate@apl.washington.edu) (206)-221-3268
%**   Background: http://psc.apl.washington.edu/BeringStrait.html
%**                                                            
%** If you use these data, especially for publications, please:
%**    a) Email me with the publication reference
%**    b) Cite the data, viz:
%**                                                            
%** CITATIONS:  
%** 1) Woodgate R.A., K.Stafford, F.Prahl, 2015, 
%** A Synthesis of Year-round Interdisciplinary Mooring Measurements  
%** in the Bering Strait (1990-2014) and the RUSALCA years (2004-2011), 
%** Oceanography 28(3):46-67, doi:10.5670/oceanog.2015.57 
%** 2) Woodgate, R.A., submitted 2017                                 
%** Increases in the Pacific inflow to the Arctic from 1990 to 2015, and 
%** insights into seasonal trends and driving mechanisms from year-round 
%** Bering Strait mooring data
%** Submitted to Progress in Oceanography
%**                                                            
%** See those references for methods and data isses                      
%**                                                            
%** ============================================================================= **
%** Mooring = number signifies A1, A2, A3, A4                            
%** Mean = monthly mean for given year and month (uncorrected data)      
%** Error = error in that mean      
%** MeanCorr = if present, monthly mean using corrected data 
%**   (vel/trans corrected for instrument depths and dropouts;
%**   salinity corrected for biofouling - see Woodgate 2017
%** CorrErr = error in that mean    
%** NaN = insufficient data to compute annual mean                       
%** ============================================================================= **
%** ============================================================================= **
%** =========== Heat Flux estimate (TW) from A3 ================================= ** 
%** =========== relative to T=-1.9deg C  ======================================== ** 
%** ============(does not include corrections for ACC or stratification) ======== ** 
%** ============================================================================= ** 
%
% Mooring  Year    Month   Mean  Error        Mean  Error
     3     1990      1     NaN     NaN         NaN     NaN
     3     1990      2     NaN     NaN         NaN     NaN
     3     1990      3     NaN     NaN         NaN     NaN
     3     1990      4     NaN     NaN         NaN     NaN
     3     1990      5     NaN     NaN         NaN     NaN
     3     1990      6     NaN     NaN         NaN     NaN
     3     1990      7     NaN     NaN         NaN     NaN
     3     1990      8     NaN     NaN         NaN     NaN
     3     1990      9     9.0     3.4         9.7     3.6
     3     1990     10     9.4     3.8        10.2     4.1
     3     1990     11     4.6     2.6         4.9     2.8
     3     1990     12     1.2     0.7         1.3     0.8
     3     1991      1     0.2     0.1         0.2     0.2
     3     1991      2     0.0     0.1         0.0     0.1
     3     1991      3     0.1     0.0         0.1     0.0
     3     1991      4     0.2     0.0         0.2     0.0
     3     1991      5     0.8     0.4         0.9     0.4
     3     1991      6     8.9     1.8         9.6     2.0
     3     1991      7    11.4     2.3        12.3     2.5
     3     1991      8    16.4     1.7        17.8     1.8
     3     1991      9    16.1     1.0        17.4     1.1
     3     1991     10    12.7     2.4        13.6     2.5
     3     1991     11     9.8     1.9        10.6     2.1
     3     1991     12     0.3     1.4         0.3     1.5
     3     1992      1     0.6     0.1         0.7     0.1
     3     1992      2     0.7     0.3         0.7     0.3
     3     1992      3     0.4     0.1         0.5     0.1
     3     1992      4     0.6     0.1         0.7     0.2
     3     1992      5     2.7     0.8         2.9     0.9
     3     1992      6    12.1     3.3        12.9     3.5
     3     1992      7    21.8     4.2        23.5     4.5
     3     1992      8    12.7     4.0        13.7     4.3
     3     1992      9    -0.3     2.4        -0.3     2.6
     3     1992     10     NaN     NaN         NaN     NaN
     3     1992     11     NaN     NaN         NaN     NaN
     3     1992     12     NaN     NaN         NaN     NaN
     3     1993      1     NaN     NaN         NaN     NaN
     3     1993      2     NaN     NaN         NaN     NaN
     3     1993      3     NaN     NaN         NaN     NaN
     3     1993      4     NaN     NaN         NaN     NaN
     3     1993      5     NaN     NaN         NaN     NaN
     3     1993      6     NaN     NaN         NaN     NaN
     3     1993      7     NaN     NaN         NaN     NaN
     3     1993      8     NaN     NaN         NaN     NaN
     3     1993      9     NaN     NaN         NaN     NaN
     3     1993     10     NaN     NaN         NaN     NaN
     3     1993     11     NaN     NaN         NaN     NaN
     3     1993     12     NaN     NaN         NaN     NaN
     3     1994      1     NaN     NaN         NaN     NaN
     3     1994      2     NaN     NaN         NaN     NaN
     3     1994      3     NaN     NaN         NaN     NaN
     3     1994      4     NaN     NaN         NaN     NaN
     3     1994      5     NaN     NaN         NaN     NaN
     3     1994      6     NaN     NaN         NaN     NaN
     3     1994      7     NaN     NaN         NaN     NaN
